state,x,y
Alabama,125,-95
Alaska,-204,-170
Arizona,-221,-40
Arkansas,42,-47
California,-318,24
Colorado,-138,27
Connecticut,297,96
Delaware,275,42
Florida,220,-145
Georgia,175,-78
Hawaii,-317,-143
Idaho,-216,122
Illinois,76,40
Indiana,133,39
Iowa,38,65
Kansas,-49,12
Kentucky,137,-2
Louisiana,52,-124
Maine,312,168
Maryland,288,27
Massachusetts,312,112
Michigan,135,95
Minnesota,23,135
Mississippi,88,-97
Missouri,49,6
Montana,-141,150
Nebraska,-56,67
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-152,-48
New York,236,104
North Carolina,212,-22
North Dakota,-70,163
Ohio,162,53
Oklahoma,-32,-38
Oregon,-278,138
Pennsylvania,212,70
Rhode Island,318,94
South Carolina,218,-51
South Dakota,-67,117
Tennessee,131,-34
Texas,-38,-106
Utah,-189,34
Vermont,284,140
Virginia,225,11
Washington,-257,193
West Virginia,199,31
Wisconsin,83,113
Wyoming,-134,90
